,V1,V2
913,348,348
914,348,91
915,349,349
916,350,350
917,350,654
918,351,351
919,351,646
920,352,352
921,352,355
922,352,442
923,352,66
924,352,33
925,353,353
926,354,354
927,354,22
928,354,562
929,354,1487
930,355,355
931,355,352
932,356,356
933,356,1099
934,356,454
935,357,357
936,357,640
937,357,743
938,358,358
939,359,359
940,359,443
941,359,632
942,360,360
943,360,1504
944,361,361
945,361,1330
946,361,1082
947,361,1436
948,362,362
949,363,363
950,363,491
951,363,588
952,364,364
953,364,413
954,364,366
955,365,365
956,366,366
957,366,21
958,366,364
959,366,301
960,366,751
961,367,367
962,367,110
963,367,374
964,367,158
965,368,368
966,368,804
967,368,398
968,369,369
969,369,755
970,370,370
971,370,451
972,370,739
973,370,468
974,370,588
975,371,371
976,372,372
977,372,126
978,372,50
979,372,635
980,373,373
981,374,374
982,374,410
983,374,367
984,375,375
985,376,376
986,376,1427
987,376,618
988,376,708
989,377,377
990,378,378
991,379,379
992,380,380
993,380,666
994,381,381
995,381,1578
996,381,1194
997,381,3
998,381,332
999,382,382
1000,382,1092
1001,383,383
1002,384,384
1003,385,385
1004,385,398
1005,386,386
1006,387,387
1007,387,1788
1008,387,601
1009,387,1765
1010,388,388
1011,389,389
1012,389,603
1013,389,423
1014,390,390
1015,390,737
1016,390,87
1017,391,391
1018,392,392
1019,392,671
1020,392,683
1021,393,393
1022,394,394
1023,394,331
1024,395,395
1025,395,433
1026,396,396
1027,397,397
1028,397,496
1029,397,466
1030,398,398
1031,398,385
1032,398,197
1033,398,368
1034,399,399
1035,400,400
1036,400,113
1037,400,426
1038,401,401
1039,401,1307
1040,402,402
1041,402,448
1042,402,425
1043,403,403
1044,403,250
1045,403,762
1046,403,430
1047,404,404
1048,404,340
1049,404,783
1050,404,763
1051,405,405
1052,405,331
1053,406,406
1054,406,159
1055,406,481
1056,406,202
1057,407,407
1058,407,803
1059,408,408
1060,409,409
1061,409,525
1062,410,410
1063,410,374
1064,410,122
1065,410,347
1066,411,411
1067,411,641
1068,411,1795
1069,411,485
1070,412,412
1071,412,488
1072,412,604
1073,412,730
1074,413,413
1075,413,310
1076,414,414
1077,415,415
1078,415,70
1079,415,665
1080,415,437
1081,415,1427
1082,416,416
1083,416,764
1084,416,70
1085,417,417
1086,417,1791
1087,417,635
1088,417,425
1089,418,418
1090,418,511
1091,418,486
1092,419,419
1093,419,96
1094,420,420
1095,420,405
1096,421,421
1097,421,133
1098,422,422
1099,422,486
1100,422,456
1101,423,423
1102,423,676
1103,423,505
1104,423,389
1105,424,424
1106,424,329
1107,425,425
1108,425,128
1109,425,328
1110,425,402
1111,425,417
1112,426,426
1113,426,155
1114,426,400
1115,426,317
1116,426,287
1117,427,427
1118,427,384
1119,427,66
1120,427,328
1121,428,428
1122,429,429
1123,430,430
1124,430,517
1125,430,728
1126,430,403
1127,431,431
1128,431,765
1129,431,535
1130,431,536
1131,431,743
1132,432,432
1133,433,433
1134,433,395
1135,433,1664
1136,434,434
1137,434,565
1138,435,435
1139,435,249
1140,435,615
1141,435,1807
1142,435,651
1143,436,436
1144,437,437
1145,437,132
1146,437,215
1147,437,415
1148,438,438
1149,438,67
1150,438,527
1151,438,468
1152,439,439
1153,439,83
1154,439,292
1155,440,440
1156,441,441
1157,441,139
1158,442,442
1159,442,147
1160,442,352
1161,443,443
1162,443,1329
1163,443,359
1164,443,1022
1165,444,444
1166,444,623
1167,445,445
1168,446,446
1169,446,460
1170,447,447
1171,448,448
1172,448,747
1173,448,626
1174,448,402
1175,449,449
1176,449,473
1177,449,552
1178,450,450
1179,450,605
1180,450,1338
1181,451,451
1182,451,370
1183,451,468
1184,452,452
1185,452,141
1186,453,453
1187,454,454
1188,454,356
1189,455,455
1190,455,276
1191,455,326
1192,456,456
1193,456,422
1194,456,723
1195,457,457
1196,457,490
1197,458,458
1198,459,459
1199,459,167
1200,460,460
1201,461,461
1202,462,462
1203,463,463
1204,463,687
1205,464,464
1206,465,465
1207,465,748
1208,466,466
1209,466,186
1210,466,397
1211,466,1772
1212,467,467
1213,467,203
1214,467,1104
1215,467,772
1216,467,1720
1217,468,468
1218,468,451
1219,468,438
1220,468,370
1221,469,469
1222,469,1034
1223,470,470
1224,471,471
1225,471,203
1226,471,524
1227,472,472
1228,472,402
1229,473,473
1230,473,449
1231,473,240
1232,473,218
1233,474,474
1234,474,534
1235,474,324
1236,474,600
1237,475,475
1238,475,64
1239,476,476
1240,476,1076
1241,476,13
1242,476,1327
1243,476,225
1244,477,477
1245,477,405
1246,478,478
1247,478,1062
1248,479,479
1249,479,307
1250,479,708
1251,479,302
1252,479,618
1253,480,480
1254,480,1839
1255,481,481
1256,481,406
1257,481,675
1258,481,94
1259,482,482
1260,482,146
1261,482,195
1262,483,483
1263,483,532
1264,484,484
1265,485,485
1266,485,249
1267,485,204
1268,485,411
1269,485,1795
1270,486,486
1271,486,422
1272,486,418
1273,487,487
1274,487,768
1275,487,735
1276,488,488
1277,488,412
1278,488,162
1279,489,489
1280,490,490
1281,490,457
1282,490,33
1283,490,87
1284,490,211
1285,491,491
1286,491,363
1287,491,600
1288,492,492
1289,493,493
1290,493,208
1291,494,494
1292,495,495
1293,495,230
1294,495,724
1295,495,1113
1296,496,496
1297,496,164
1298,496,397
1299,497,497
1300,497,423
1301,497,1445
1302,498,498
1303,499,499
1304,499,521
1305,499,159
1306,499,134
1307,500,500
1308,500,78
1309,501,501
1310,501,245
1311,502,502
1312,502,157
1313,503,503
1314,503,176
1315,504,504
1316,505,505
1317,505,423
1318,506,506
1319,506,1724
1320,507,507
