,V1,V2
816,1471,1228
817,1472,1667
818,1473,1067
819,1475,483
820,1475,1356
821,1477,1410
822,1479,1747
823,1483,312
824,1484,1536
825,1484,890
826,1486,1325
827,1487,1191
828,1489,995
829,1492,1067
830,1493,1152
831,1494,1024
832,1503,920
833,1503,1548
834,1503,1620
835,1507,18
836,1509,1117
837,1509,1548
838,1512,1605
839,1517,23
840,1518,1004
841,1518,1290
842,1528,1700
843,1528,1437
844,1528,1612
845,1530,1092
846,1531,817
847,1532,1300
848,1536,485
849,1540,384
850,1542,42
851,1542,1101
852,1543,438
853,1545,1640
854,1546,952
855,1548,1272
856,1552,364
857,1554,1310
858,1554,42
859,1557,70
860,1559,0
861,1561,1481
862,1562,1325
863,1562,1643
864,1562,1310
865,1563,615
866,1567,1637
867,1569,1751
868,1574,480
869,1578,387
870,1579,358
871,1581,316
872,1583,1338
873,1584,1807
874,1584,703
875,1584,615
876,1588,1188
877,1590,1512
878,1593,873
879,1594,1325
880,1600,42
881,1601,1306
882,1604,1815
883,1608,608
884,1612,1556
885,1613,1766
886,1614,67
887,1617,784
888,1617,364
889,1617,437
890,1618,724
891,1620,889
892,1620,1136
893,1621,952
894,1621,1165
895,1622,1262
896,1624,100
897,1624,1261
898,1626,22
899,1626,3
900,1630,1321
901,1631,641
902,1635,42
903,1635,660
904,1635,447
905,1636,82
906,1639,364
907,1641,527
908,1644,1280
909,1645,468
910,1648,651
911,1649,1807
912,1650,13
913,1651,784
914,1651,437
915,1651,1415
916,1655,1795
917,1665,71
918,1665,1352
919,1666,1068
920,1666,1521
921,1669,1004
922,1672,1819
923,1675,1004
924,1677,730
925,1679,1018
926,1687,1041
927,1689,438
928,1692,527
929,1692,1041
930,1695,40
931,1697,387
932,1698,1620
933,1704,1115
934,1704,1380
935,1706,1021
936,1711,70
937,1711,656
938,1713,1548
939,1713,1198
940,1713,1384
941,1713,1270
942,1715,1685
943,1720,315
944,1720,200
945,1726,639
946,1733,411
947,1734,1795
948,1736,135
949,1737,170
950,1740,1416
951,1750,1606
952,1750,1474
953,1751,1150
954,1753,1299
955,1755,1299
956,1756,592
957,1758,584
958,1758,915
959,1760,584
960,1760,562
961,1760,332
962,1760,864
963,1761,1517
964,1763,1555
965,1764,34
966,1765,1137
967,1765,857
968,1765,1353
969,1766,1561
970,1766,910
971,1766,1163
972,1766,931
973,1771,1447
974,1773,1299
975,1773,1195
976,1773,332
977,1774,291
978,1775,149
979,1775,368
980,1777,86
981,1780,109
982,1787,159
983,1789,1106
984,1789,1150
985,1789,1203
986,1789,1527
987,1790,1595
988,1790,1213
989,1792,1604
990,1799,1468
991,1801,1585
992,1801,854
993,1801,1481
994,1802,1489
995,1802,806
996,1810,981
997,1811,614
998,1814,638
999,1816,1172
1000,1819,1272
1001,1822,1608
1002,1823,1481
1003,1823,1593
1004,1825,46
1005,1825,297
1006,1825,631
1007,1825,299
1008,1825,292
1009,1833,937
1010,1836,1558
1011,1836,1341
1012,1837,1405
1013,1838,1216
1014,1838,1225
1015,1842,1128
1016,1842,1149
1017,1843,854
1018,1844,1593
1019,1844,1519
1020,1848,819
1021,1850,1572
1022,1850,832
1023,1854,877
1024,1856,86
1025,1857,1528
1026,1858,943
1027,1859,1245
1028,1859,922
1029,1862,1737
1030,1862,1520
1031,1866,972
1032,1868,592
1033,1869,1029
1034,1869,994
1035,1874,1309
1036,1875,1149
1037,1875,959
1038,1876,279
1039,1876,1561
1040,1880,927
1041,1880,1676
1042,1884,1184
1043,1884,1193
1044,1884,1123
1045,1885,1474
1046,1885,887
1047,1888,1589
1048,1891,930
1049,1892,1121
1050,1896,28
1051,1897,1592
1052,1897,1216
1053,1897,1649
1054,1905,1694
1055,1905,1468
1056,1907,114
1057,1907,410
1058,1909,89
1059,1919,1140
1060,1919,931
1061,1920,60
1062,1920,630
1063,1922,924
1064,1922,1209
1065,1932,1469
1066,1936,882
1067,1937,1550
1068,1937,850
1069,1939,12
1070,1939,1494
1071,1941,1636
1072,1943,758
1073,1949,1203
1074,1954,62
1075,1955,1279
1076,1958,1547
1077,1960,879
1078,1960,1676
1079,1960,865
1080,1962,930
1081,1962,1341
1082,1962,1073
1083,1964,1529
1084,1966,961
1085,1971,1517
1086,1971,1196
1087,1972,1481
1088,1974,947
1089,1977,1276
1090,1977,1100
1091,1977,1558
1092,1977,871
1093,1977,888
1094,1979,937
1095,1980,1262
1096,1980,62
1097,1980,1300
1098,1982,1557
1099,1982,678
1100,1983,659
1101,1983,1283
1102,1983,1212
1103,1983,1156
1104,1989,1580
1105,1996,589
1106,2001,678
1107,2001,1335
1108,2001,584
1109,2003,854
1110,2006,1555
1111,2009,292
1112,2009,1838
1113,2010,1382
1114,2012,1226
1115,2012,1149
1116,2013,943
1117,2014,323
1118,2015,1296
1119,2018,816
1120,2018,1017
1121,2019,1353
1122,2020,812
1123,2026,1501
1124,2028,1028
1125,2029,312
1126,2030,1214
1127,2033,1474
1128,2041,40
1129,2044,1245
1130,2045,65
1131,2045,711
1132,2045,60
1133,2049,638
1134,2053,631
1135,2053,312
1136,2054,1560
1137,2054,1530
1138,2054,1614
1139,2055,190
1140,2055,339
1141,2058,1462
1142,2059,28
1143,2063,1631
1144,2070,1137
1145,2072,1205
1146,2076,240
1147,2076,944
1148,2079,501
1149,2086,699
1150,2088,1309
1151,2096,1262
1152,2097,1340
1153,2107,1283
1154,2108,839
1155,2108,1474
1156,2111,172
1157,2113,869
1158,2113,1029
1159,2114,1382
1160,2114,1349
1161,2115,901
1162,2123,1614
1163,2123,659
1164,2127,1317
1165,2128,921
1166,2128,1156
1167,2130,1662
1168,2132,550
1169,2132,552
1170,2133,1518
1171,2138,234
1172,2139,930
1173,2142,1477
1174,2150,599
1175,2151,1543
1176,2153,439
1177,2153,46
1178,2154,1606
1179,2158,80
1180,2158,339
1181,2159,1033
1182,2159,922
1183,2159,1513
1184,2159,1623
1185,2160,120
1186,2161,551
1187,2163,1529
1188,2173,1582
1189,2178,921
1190,2178,1156
1191,2178,1283
1192,2179,1199
1193,2179,863
1194,2179,2
1195,2180,887
1196,2180,875
1197,2184,1775
1198,2187,1073
1199,2187,961
1200,2187,1636
1201,2192,579
1202,2199,1316
1203,2199,1656
1204,2205,1406
1205,2209,11
1206,2214,1137
1207,2214,887
1208,2216,1283
1209,2219,1050
1210,2222,1033
1211,2222,1623
1212,2226,876
1213,2228,1687
1214,2228,641
1215,2239,1796
1216,2242,1309
1217,2242,895
1218,2248,1552
1219,2251,1045
1220,2258,761
1221,2260,1300
1222,2262,170
1223,2275,1045
1224,2292,53
1225,2293,295
1226,2294,433
1227,2294,711
1228,2297,12
1229,2301,630
1230,2301,1405
1231,2302,859
1232,2305,1032
1233,2306,550
1234,2314,1668
1235,2314,1560
1236,2314,1230
1237,2318,1512
1238,2319,583
1239,2320,712
1240,2321,630
1241,2322,1630
1242,2325,1015
1243,2325,714
1244,2327,1546
1245,2328,711
1246,2332,1118
1247,2338,1323
1248,2344,1241
1249,2350,1302
1250,2350,573
1251,2353,546
1252,2354,969
1253,2354,1694
1254,2355,622
1255,2356,1500
1256,2360,1574
1257,2360,1617
1258,2362,960
1259,2366,969
1260,2367,638
1261,2367,295
1262,2371,847
1263,2372,1149
1264,2372,1608
1265,2377,1174
1266,2377,1499
1267,2381,1469
1268,2381,678
1269,2382,436
1270,2386,1547
1271,2389,1725
1272,2390,1099
1273,2394,1353
1274,2398,871
1275,2400,879
1276,2400,878
1277,2401,1572
1278,2406,594
1279,2406,834
1280,2408,1564
1281,2409,1477
1282,2410,1203
1283,2410,844
1284,2413,1468
1285,2414,1777
1286,2418,584
1287,2419,114
1288,2420,1335
1289,2420,37
1290,2422,758
1291,2423,1649
1292,2430,712
1293,2430,48
